"FORUM_BBS_NO","FORUM_CATEGORY_CODE","RGST_DATE","RGST_USER_NO","RGST_USER_ID","UPDT_DATE","UPDT_USER_NO","UPDT_USER_ID","DEL_YN"
1,TRNC_BSN_MARKT,2023-04-27 18:12:58.123,FP503057,djlee92,2023-04-27 18:13:36.840,FP503057,djlee92,N
1,TRNC_MNGMT_INV,2023-04-27 18:12:58.123,FP503057,djlee92,2023-04-27 18:13:36.843,FP503057,djlee92,N
1,TRNC_PROD,2023-04-27 18:13:36.837,FP503057,djlee92,2023-04-27 18:13:36.837,FP503057,djlee92,N
1,TRNC_QLITY,2023-04-27 18:13:36.840,FP503057,djlee92,2023-04-27 18:13:36.840,FP503057,djlee92,N
1,TRNC_SCM_PURCH,2023-04-27 18:12:58.123,FP503057,djlee92,2023-04-27 18:13:36.843,FP503057,djlee92,N
2,TRNC_RND,2023-04-28 08:20:29.490,"07001861",kimkym,2023-04-28 08:20:29.490,"07001861",kimkym,N
3,TRNC_RND,2023-05-03 15:01:59.477,FP018923,jjonu_es,2023-05-03 15:01:59.477,FP018923,jjonu_es,N
4,TRNC_RND,2023-05-03 15:13:29.660,FP018923,jjonu_es,2023-05-03 15:13:29.660,FP018923,jjonu_es,N
5,TRNC_RND,2023-05-03 17:34:43.947,FP503057,djlee92,2023-05-03 17:34:43.947,FP503057,djlee92,N
6,TRNC_HR,2023-05-04 09:31:30.950,"07002750",jongwonhong,2023-05-04 09:31:30.950,"07002750",jongwonhong,N
7,TRNC_RND,2023-05-12 15:01:24.007,"00219207",namhun,2023-05-12 15:01:24.007,"00219207",namhun,N
8,TRNC_ETC,2023-05-15 16:58:07.350,"07003268",souljh,2023-05-15 16:58:07.350,"07003268",souljh,N
8,TRNC_RND,2023-05-15 16:58:07.350,"07003268",souljh,2023-05-15 16:58:07.350,"07003268",souljh,N
8,TRNC_TECH,2023-05-15 16:58:07.350,"07003268",souljh,2023-05-15 16:58:07.350,"07003268",souljh,N
9,TRNC_RND,2023-05-16 17:19:44.547,"00219207",namhun,2023-05-16 17:19:44.547,"00219207",namhun,N
10,TRNC_RND,2023-05-16 19:35:15.403,"00219207",namhun,2023-05-16 19:35:15.403,"00219207",namhun,N
11,TRNC_RND,2023-05-17 14:05:20.543,"00228753",bkm0117,2023-05-17 14:05:20.543,"00228753",bkm0117,N
11,TRNC_TECH,2023-05-17 14:05:20.543,"00228753",bkm0117,2023-05-17 14:05:20.543,"00228753",bkm0117,N
12,TRNC_RND,2023-05-18 17:09:21.613,"00219207",namhun,2023-05-18 17:09:21.613,"00219207",namhun,N
13,TRNC_RND,2023-05-22 13:36:31.073,"00217927",hwangdong,2023-05-22 13:36:31.073,"00217927",hwangdong,N
14,TRNC_RND,2023-05-22 23:10:15.930,"00219207",namhun,2023-05-22 23:10:15.930,"00219207",namhun,N
15,TRNC_RND,2023-05-23 09:39:39.073,"00229754",flow_ik,2023-05-23 09:39:39.073,"00229754",flow_ik,N
16,TRNC_ETC,2023-05-25 10:43:14.323,"00223696",lsitin,2023-05-25 10:50:55.657,"00223696",lsitin,N
16,TRNC_QLITY,2023-05-25 10:43:14.323,"00223696",lsitin,2023-05-25 10:50:55.653,"00223696",lsitin,N
16,TRNC_RND,2023-05-25 10:43:14.323,"00223696",lsitin,2023-05-25 10:50:55.653,"00223696",lsitin,N
17,TRNC_RND,2023-05-25 20:00:47.187,"07002364",sangmin.park,2023-05-30 13:28:03.813,"07002364",sangmin.park,N
18,TRNC_RND,2023-05-28 17:21:34.097,"00219207",namhun,2023-05-28 17:21:34.097,"00219207",namhun,N
19,TRNC_RND,2023-05-30 13:33:38.493,"07002364",sangmin.park,2023-05-30 13:33:38.493,"07002364",sangmin.park,N
20,TRNC_RND,2023-06-06 19:36:25.070,"00219207",namhun,2023-06-06 19:36:25.070,"00219207",namhun,N
21,TRNC_RND,2023-06-13 11:31:59.103,"00229963",hjung19,2023-06-13 11:31:59.103,"00229963",hjung19,N
22,TRNC_PROD,2023-06-13 17:42:25.960,"00206631",youngpark,2023-06-13 17:42:25.960,"00206631",youngpark,N
22,TRNC_QLITY,2023-06-13 17:42:25.960,"00206631",youngpark,2023-06-13 17:42:25.960,"00206631",youngpark,N
