"TERM_CTGRY_SEQ","TERM_ID","TERM_REQST_ID","TERM_DEL_REQST_ID","TERM_CTGRY_ORDR_NO","TERM_CTGRY_CODE","SVC_YN","RGST_DT","RGST_EMPNO","RGST_USER_ID","UPDT_DT","UPDT_EMPNO","UPDT_USER_ID"
7610,"4737","11831",,"2",TRNC_TECH,Y,2023-12-22 08:37:49.020,"07000818",sungjin.oh,2023-12-22 08:37:49.020,"07000818",sungjin.oh
7608,"4735","11825",,"2",TRNC_TECH,Y,2023-12-22 08:36:46.633,"07004369",gitaek,2023-12-22 08:36:46.633,"07004369",gitaek
7609,"4735","11825",,"3",TRNC_PROD,Y,2023-12-22 08:36:46.633,"07004369",gitaek,2023-12-22 08:36:46.633,"07004369",gitaek
7607,"4734","11841","11902","1",TRNC_RND,N,2023-12-22 08:36:34.387,"07002750",jongwonhong,2023-12-22 08:36:34.387,"07002750",jongwonhong
7606,"4733","11823","11893","3",TRNC_PROD,N,2023-12-22 08:36:16.253,"00208862",hachoco,2023-12-22 08:36:16.253,"07002750",jongwonhong
7605,"4732","11838",,"2",TRNC_TECH,Y,2023-12-22 08:33:50.660,"07002750",jongwonhong,2023-12-22 08:33:50.660,"07002750",jongwonhong
7604,"4731","11751",,"2",TRNC_TECH,Y,2023-12-22 08:33:26.917,"07004216",spkim,2023-12-22 08:33:26.917,"07004216",spkim
7603,"4730","11749","11896","2",TRNC_TECH,N,2023-12-22 08:33:00.177,"07004216",spkim,2023-12-22 08:33:00.177,"07002750",jongwonhong
7602,"4729","11750","11899","2",TRNC_TECH,N,2023-12-22 08:32:49.547,"07004216",spkim,2023-12-22 08:32:49.547,"07002750",jongwonhong
7601,"4728","11832","11891","1",TRNC_RND,N,2023-12-22 08:29:20.470,"07002750",jongwonhong,2023-12-22 08:29:20.470,"07002750",jongwonhong
7600,"4727","11736",,"7",TRNC_MNGMT_INV,Y,2023-12-20 17:33:24.467,"00205734",pakminwhoi,2023-12-20 17:33:24.467,"00205734",pakminwhoi
7599,"4726","11795",,"3",TRNC_PROD,Y,2023-12-20 17:32:26.243,"00208859",ykwang,2023-12-20 17:32:26.243,"00208859",ykwang
7598,"4726","11752",,"2",TRNC_TECH,Y,2023-12-20 17:32:26.200,"07004216",spkim,2023-12-20 17:32:26.200,"07004216",spkim
7597,"4724","11794",,"3",TRNC_PROD,Y,2023-12-20 17:27:52.223,"00208859",ykwang,2023-12-20 17:27:52.223,"00208859",ykwang
7596,"4724","11794",,"2",TRNC_TECH,Y,2023-12-20 17:27:52.220,"00208859",ykwang,2023-12-20 17:27:52.220,"00208859",ykwang
7595,"4725","11792",,"3",TRNC_PROD,Y,2023-12-20 17:27:35.260,"00208859",ykwang,2023-12-20 17:27:35.260,"00208859",ykwang
7594,"4725","11792",,"2",TRNC_TECH,Y,2023-12-20 17:27:35.253,"00208859",ykwang,2023-12-20 17:27:35.253,"00208859",ykwang
7591,"4723","11733",,"2",TRNC_TECH,Y,2023-12-20 17:25:13.180,"07000531",jaeh0415,2023-12-20 17:25:13.180,"07000531",jaeh0415
7592,"4723","11733",,"3",TRNC_PROD,Y,2023-12-20 17:25:13.180,"07000531",jaeh0415,2023-12-20 17:25:13.180,"07000531",jaeh0415
7593,"4723","11733",,"10",TRNSLAT_IT,Y,2023-12-20 17:25:13.180,"07000531",jaeh0415,2023-12-20 17:25:13.180,"07000531",jaeh0415
7589,"4722","11732",,"2",TRNC_TECH,Y,2023-12-20 17:24:05.897,"07000531",jaeh0415,2023-12-20 17:24:05.897,"07000531",jaeh0415
